"Emissions","type","year"
9.87301e-05,"ON-ROAD",2002
5.55102e-05,"ON-ROAD",2002
0.0026898162,"ON-ROAD",2002
0.000133071,"ON-ROAD",2002
7.48181e-05,"ON-ROAD",2002
0.0036254664,"ON-ROAD",2002
4.28673e-05,"ON-ROAD",2002
2.41018e-05,"ON-ROAD",2002
0.0011678978,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.54,"ON-ROAD",2002
0.0014681358,"ON-ROAD",2002
0.0008254274,"ON-ROAD",2002
0.04,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.52,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.0060878602,"ON-ROAD",2002
0.29,"ON-ROAD",2002
0.0037345233,"ON-ROAD",2002
0.0020996507,"ON-ROAD",2002
0.1,"ON-ROAD",2002
0.0084951016,"ON-ROAD",2002
0.0047761776,"ON-ROAD",2002
0.23,"ON-ROAD",2002
0.0002296671,"ON-ROAD",2002
0.0001291557,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.0003133374,"ON-ROAD",2002
0.0001762086,"ON-ROAD",2002
0.01,"ON-ROAD",2002
9.6606e-05,"ON-ROAD",2002
5.43274e-05,"ON-ROAD",2002
0.0053392209,"ON-ROAD",2002
0.04,"ON-ROAD",2002
0.02,"ON-ROAD",2002
2.54,"ON-ROAD",2002
0.0034016566,"ON-ROAD",2002
0.0019129616,"ON-ROAD",2002
0.18,"ON-ROAD",2002
0.04,"ON-ROAD",2002
0.02,"ON-ROAD",2002
2.49,"ON-ROAD",2002
0.02,"ON-ROAD",2002
0.01,"ON-ROAD",2002
1.38,"ON-ROAD",2002
0.0086532214,"ON-ROAD",2002
0.0048662418,"ON-ROAD",2002
0.47,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.01,"ON-ROAD",2002
1.08,"ON-ROAD",2002
0.0007617328,"ON-ROAD",2002
0.0012854596,"ON-ROAD",2002
0.05,"ON-ROAD",2002
0.0010299883,"ON-ROAD",2002
0.0017381533,"ON-ROAD",2002
0.07,"ON-ROAD",2002
0.0003196961,"ON-ROAD",2002
0.0005395021,"ON-ROAD",2002
0.02,"ON-ROAD",2002
0.15,"ON-ROAD",2002
0.25,"ON-ROAD",2002
11.42,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.84,"ON-ROAD",2002
0.14,"ON-ROAD",2002
0.25,"ON-ROAD",2002
11.18,"ON-ROAD",2002
0.08,"ON-ROAD",2002
0.14,"ON-ROAD",2002
6.23,"ON-ROAD",2002
0.02,"ON-ROAD",2002
0.04,"ON-ROAD",2002
2.15,"ON-ROAD",2002
0.06,"ON-ROAD",2002
0.11,"ON-ROAD",2002
4.88,"ON-ROAD",2002
3.64102e-05,"ON-ROAD",2002
2.05516e-05,"ON-ROAD",2002
0.0054490396,"ON-ROAD",2002
0.0002636216,"ON-ROAD",2002
0.0001488,"ON-ROAD",2002
0.03,"ON-ROAD",2002
0.03,"ON-ROAD",2002
0.01,"ON-ROAD",2002
4.95,"ON-ROAD",2002
0.0031487704,"ON-ROAD",2002
0.001777314,"ON-ROAD",2002
0.47,"ON-ROAD",2002
0.04,"ON-ROAD",2002
0.02,"ON-ROAD",2002
6.75,"ON-ROAD",2002
0.02,"ON-ROAD",2002
0.01,"ON-ROAD",2002
3.79,"ON-ROAD",2002
0.0085182628,"ON-ROAD",2002
0.0048081086,"ON-ROAD",2002
1.27,"ON-ROAD",2002
0.01,"ON-ROAD",2002
0.0098412569,"ON-ROAD",2002
2.61,"ON-ROAD",2002
0.00257348806189838,"ON-ROAD",2005
0.000966369290836138,"ON-ROAD",2005
0.00228798297757747,"ON-ROAD",2005
0.00257407598837744,"ON-ROAD",2005
0.000966590057942066,"ON-ROAD",2005
0.00241951912175863,"ON-ROAD",2005
0.00175817798299248,"ON-ROAD",2005
0.000660212572256552,"ON-ROAD",2005
0.00165261061920317,"ON-ROAD",2005
2.59,"ON-ROAD",2005
0.97,"ON-ROAD",2005
2.31,"ON-ROAD",2005
0.34,"ON-ROAD",2005
0.12,"ON-ROAD",2005
0.3,"ON-ROAD",2005
3.11,"ON-ROAD",2005
1.17,"ON-ROAD",2005
3.26,"ON-ROAD",2005
1.95,"ON-ROAD",2005
0.73,"ON-ROAD",2005
2.05,"ON-ROAD",2005
0.61,"ON-ROAD",2005
0.23,"ON-ROAD",2005
0.64,"ON-ROAD",2005
0.7,"ON-ROAD",2005
0.26,"ON-ROAD",2005
0.73,"ON-ROAD",2005
0.00201664405176415,"ON-ROAD",2005
0.000755506494897396,"ON-ROAD",2005
0.00201790018763858,"ON-ROAD",2005
0.00201840799127239,"ON-ROAD",2005
0.000756167337385691,"ON-ROAD",2005
0.00208469806239008,"ON-ROAD",2005
0.00137931399513035,"ON-ROAD",2005
0.000516740019520499,"ON-ROAD",2005
